Saboteur;1942;Alfred Hitchcock;3000 MILES OF TERROR!;7.2;13:00:00;14:45:00;Priscilla Lane:Robert Cummings:Otto Kruger:Alan Baxter:Clem Bevans:Norman Lloyd;Thriller:Oorlog;Door toedoen van een nazi-infiltrant wordt in een explosie, gericht op het vernietigen van militaire vliegtuigen, de beste vriend van fabrieksarbeider Barry Kane (Robert Cummings) gedood en wordt Kane valselijk beschuldigd van deze laffe daad. In een poging zijn onschuld te bewijzen probeert hij de ware schuldige op te sporen, hierin bijgestaan door een eigenzinnige dame die niet altijd even overtuigd is van zijn onschuld. De zoektocht leidt hen tot in de top van het Vrijheidsbeeld waar het tot een ijzingwekkende confrontatie komt.;71893
Prince of Persia: The Sands of Time;2010;Mike Newell;Defy the Future;6.6;20:30:00;22:50:00;Jake Gyllenhaal:Gemma Arterton:Ben Kingsley:Alfred Molina:Steve Toussaint:Toby Kebbell;Actie:Avontuur:Fantasy:Romantiek;Het verhaal is grotendeels gebaseerd op het video-spel Prince of Persia: The Sands of Time, en volgt een prins genaamd Dastan (Gyllenhaal) die samen met zijn rivaal Prinses Tamina (Aterton) de machtige vizier Nizam (Kingsley) moet stoppen om het verspreiden van het zand der tijd tegen te gaan.;45194
The Jackal;1997;Michael Caton-Jones;How do you stop an assassin who has no identity?;6.3;20:30:00;23:40:00;Bruce Willis:Richard Gere:Sidney Poitier:Diane Venora:Mathilda May:J.K. Simmons;Actie:Avontuur:Misdaad:Thriller;Een huurmoordenaar, The Jackal, moet een topman van de Amerikaanse regering elimineren. De enige die hem kan tegenhouden, is de IRA-terrorist Declan Mulqueen, die wordt vrijgelaten uit de gevangenis.;93073
Mission: Impossible III;2006;J.J. Abrams;The Mission Begins 05:05:06;6.9;20:30:00;23:00:00;Tom Cruise:Philip Seymour Hoffman:Ving Rhames:Billy Crudup:Michelle Monaghan:Jonathan Rhys Meyers;Actie:Avontuur:Thriller;Ethan Hunt is een paar jaar ouder geworden, en heeft een vriendin die niet weet waar hij werkt. Hij is niet meer regelmatig actief in de IMF. Een spionne van de IMF, Lindsey Farris, wordt gevangen genomen in Duitsland. Hunt wordt gevraagd of hij nog een keer in actie wil komen, en krijgt hiervoor een team tot zijn beschikking.;97481
The Greatest;2009;Shana Feste;;6.7;20:30:00;22:30:00;Carey Mulligan:Aaron Johnson:Pierce Brosnan:Susan Sarandon:Johnny Simmons:Kevin Hagan;Drama:Romantiek;"De familie Brewer verliest hun zoon Bennett (Johnson) bij een auto-ongeluk. De familie heeft het erg moeilijk met het verlies. De moeder (Sarandon) raakt geobsedeerd en kan het niet verwerken. De vader (Brosnan) wordt het allemaal te veel en kan het niet onder ogen zien en de tweederangspositie van Bennett's broer komt ook aan het licht. Maar dan komt er nog een grote schok; Bennett's vriendin blijkt zijn kind te dragen...";97490
"Vincent n'a pas d'&eacute;cailles";2014;Thomas Salvador;;6.2;21:02:00;22:16:00;;;Vincent is een rustig man. Hij heeft superkrachten, die opkomen als hij blootgesteld wordt aan water. Vincent heeft een leven dat hem voor het overgrote deel van de tijd weghoudt van anderen. Tot hij een meisje ontmoet. Zijn krachten ontdekt worden. En zijn leven voor altijd verandert.;27128
The Mummy;1999;Stephen Sommers;Adventure Is Reborn.;7;22:50:00;01:20:00;Brendan Fraser:Rachel Weisz:John Hannah:Arnold Vosloo:Kevin J. O'Connor:Jonathan Hyde;Actie:Avontuur:Fantasy;"De valse priester Imhotep heeft een affaire met de ma&icirc;tresse van de Farao. Als dat ontdekt wordt, pleegt zij zelfmoord en wordt hij gestraft met een vloek. Hij wordt gemummificeerd als levend lijk. In 1923 worden de ruines gevonden van de stad waar hij zich bevindt. De verhalen over schatten in de stad trekken schatzoekers en archeologen, zoals Richard en Evelyn, naar de ru&iuml;nes.";93249
Alice Neel;2007;Andrew Neel;;8;22:55:00;00:15:00;;;Alice Neel (1900-1984) was een Amerikaanse portretschilder. Deze film vertelt haar verhaal, vanuit het perspectief van vrienden, familie, andere kunstenaars, wetenschappers en vooral haar twee zoons, Richard en Hartley.;37375
The Marine;2006;John Bonito;;4.7;23:05:00;01:10:00;John Cena:Robert Patrick:Kelly Carlson:Anthony Ray Parker:Abigail Bianca:Jerome Ehlers;Actie:Drama:Thriller;"Een marinier wordt eervol ontslagen nadat hij een direct bevel had genegeerd. Hoe gaat direct op zoek naar een job, maar wordt reeds na &eacute;&eacute;n dag ontslagen. Zijn vriendin stelt voor op naar de bergen te trekken om eventjes te ontspannen. Onderweg komen ze in aanraking met een bende criminelen waarna hij zijn ontvoerde vriendin moet proberen te redden.";26050
